Date,Day of Week,Ride ID Number, Total Pay , Tip , Bonus ,Booked Time (min),Distance,Stop In Ride,Start Time,End Time, Passenger Pay , Base Pay 
8/15/2025,Friday,1253,$8.16 , $-   ,$1.36 ,28,13.3,No,10:23:00 PM,10:51:00 PM,$14.89 ,$6.80 
8/15/2025,Friday,1252,$7.84 , $-   ,$4.55 ,10,0.91,No,10:51:00 PM,11:02:00 PM,$9.43 ,$3.69 
8/15/2025,Friday,1251,$9.09 , $-   ,$6.00 ,9,3,No,11:19:00 PM,11:28:00 PM,$18.86 ,$3.09 
8/12/2025,Tuesday,1255,$5.68 ,$1.49 , $-   ,19,6.41,No,11:28:00 PM,11:47:00 PM,$9.96 ,$4.19 
8/12/2025,Tuesday,1254,$7.59 , $-   ,$1.17 ,26,7.1,Yes,3:43:00 PM,4:09:00 PM,$15.57 ,$6.42 
8/15/2025,Friday,1256,$6.22 ,$2.00 ,$0.70 ,12,3.5,No,9:20:00 PM,9:32:00 PM,$9.71 ,$3.52 
8/25/2025,Sunday,1275,$5.14 , $-   , $-   ,18,6.51,No,4:46:00 PM,5:03:00 PM,$9.73 ,$5.14 
8/25/2025,Sunday,1276,$12.15 , $-   , $-   ,27,13.75,No,5:05:00 PM,5:33:00 PM,$15.29 ,$12.15 
8/25/2025,Sunday,1277,$12.85 ,$3.80 , $-   ,26,12.23,No,6:09:00 PM,6:35:00 PM,$18.99 ,$9.05 
8/25/2025,Sunday,1278,$4.11 , $-   , $-   ,14,3.86,No,6:35:00 PM,6:49:00 PM,$8.66 ,$4.11 
8/25/2025,Sunday,1279,$8.01 , $-   ,$1.25 ,23,7.73,No,6:49:00 PM,7:12:00 PM,$11.68 ,$6.76 
8/25/2025,Sunday,1280,$9.07 , $-   ,$1.50 ,21,11.14,No,7:12:00 PM,7:33:00 PM,$19.67 ,$7.57 
8/26/2025,Tuesday,1289,$14.76 ,$3.60 ,$2.58 ,29,11.05,no,2:04:00 PM,2:33:00 PM,$15.30 ,$8.58 
8/27/2025,Wednesday,1290,$15.92 ,$2.77 ,$3.03 ,25,8.77,no,3:13:00 PM,3:38:00 PM,$18.49 ,$10.12 
8/27/2025,Wednesday,1291,$4.15 , $-   ,$0.96 ,14,7.54,no,3:44:00 PM,3:58:00 PM,$9.65 ,$3.19 
8/27/2025,Wednesday,1292,$5.12 , $-   ,$2.14 ,10,2.04,no,3:58:00 PM,4:08:00 AM,$7.18 ,$2.95 
8/27/2025,Wednesday,1293,$7.15 , $-   ,$2.61 ,15,3.54,no,4:08:00 PM,4:23:00 PM,$15.88 ,$4.54 
8/27/2025,Wednesday,1294,$8.91 ,$1.35 ,$3.21 ,21,5.09,no,4:23:00 PM,4:44:00 PM,$14.83 ,$4.35 
8/27/2025,Wednesday,1295,$5.07 , $-   ,$2.13 ,9,1.08,no,4:44:00 PM,4:53:00 PM,$6.57 ,$2.94 
8/28/2025,Thursday,1296,$8.23 ,$2.20 ,$1.39 ,18,5.62,no,5:08:00 PM,5:26:00 PM,$10.45 ,$4.64 
8/28/2025,Thursday,1297,$6.86 ,$1.80 ,$1.17 ,15,3.81,no,5:28:00 PM,5:43:00 PM,$8.99 ,$3.89 
8/28/2025,Thursday,1298,$8.16 , $-   ,$4.38 ,19,3.69,no,5:45:00 PM,6:04:00 PM,$8.50 ,$3.78 
8/28/2025,Thursday,1299,$5.93 , $-   ,$3.17 ,14,2.07,no,6:07:00 PM,6:22:00 PM,$8.16 ,$2.76 
8/31/2025,Sunday,1300,$10.13 , $-   ,$3.80 ,23,8.28,no,8:33:00 AM,8:57:00 AM,$12.78 ,$6.33 
8/31/2025,Sunday,1301,$5.16 , $-   ,$1.94 ,14,4.13,no,8:58:00 AM,9:12:00 AM,$8.41 ,$3.22 
8/31/2025,Sunday,1302,$6.09 , $-   , $-   ,15,5.8,no,10:27:00 AM,10:42:00 AM,$11.99 ,$6.09 
9/1/2025,Monday,1303,$10.17 , $-   , $-   ,31,15.15,no,10:50:00 AM,11:21:00 AM,$21.73 ,$10.17 
9/1/2025,Monday,1304,$2.69 , $-   , $-   ,12,2.47,no,11:21:00 AM,11:34:00 AM,$6.14 ,$2.59 
9/1/2025,Monday,1305,$14.16 ,$4.00 ,$2.00 ,21,8.14,no,11:35:00 AM,11:56:00 AM,$15.35 ,$8.16 
9/3/2025,Wednesday,1306,$10.15 ,$3.00 ,$1.19 ,18,5.85,no,1:21:00 PM,1:39:00 PM,$12.95 ,$5.96 
9/3/2025,Wednesday,1307,$18.21 , $-   ,$4.19 ,30,12.43,no,1:48:00 PM,2:18:00 PM,$24.87 ,$13.96 
9/3/2025,Wednesday,1308,$16.17 , $-   ,$3.73 ,33,16,no,2:27:00 PM,3:00:00 PM,$25.99 ,$12.44 
9/3/2025,Wednesday,1309,$8.22 , $-   ,$1.89 ,20,5.43,no,3:00:00 PM,3:20:00 PM,$16.95 ,$6.28 
9/3/2025,Wednesday,1310,$12.06 , $-   ,$2.78 ,26,13.37,no,3:23:00 PM,3:49:00 PM,$16.94 ,$9.28 
9/4/2025,Thursday,1311,$9.16 , $-   ,$2.62 ,21,7.95,no,4:20:00 PM,4:41:00 PM,$12.99 ,$6.54 
9/4/2025,Thursday,1312,$7.13 , $-   ,$2.04 ,17,5.14,no,4:41:00 PM,4:59:00 PM,$7.99 ,$5.09 
9/4/2025,Thursday,1313,$3.59 , $-   ,$0.80 ,12,3.1,no,5:00:00 PM,5:11:00 PM,$6.99 ,$2.68 
9/4/2025,Thursday,1314,$12.96 ,$3.80 ,$2.11 ,28,7.47,no,5:09:00 PM,5:40:00 PM,$18.99 ,$7.05 
9/5/2025,Friday,1315,$4.92 , $-   ,$0.69 ,12,2.17,no,11:49:00 AM,12:01:00 PM,$9.46 ,$3.44 
9/5/2025,Friday,1316,$13.96 ,$4.50 ,$2.11 ,25,5.64,Yes,4:40:00 PM,5:05:00 PM,$17.99 ,$7.05 
9/5/2025,Friday,1317,$15.48 ,$4.34 ,$2.57 ,19,7.47,no,5:17:00 PM,5:36:00 PM,$19.55 ,$8.57 
9/5/2025,Friday,1318,$8.08 ,$2.23 ,$1.19 ,15,4.06,no,5:36:00 PM,5:52:00 PM,$11.14 ,$3.96 
